community_names,pce_id,PCE community name,plant__name,plant__utility__name
Adak,331005,Adak,Adak,TDX Adak Generating LLC
Akhiok,331010,Akhiok,Akhiok,"Akhiok, City of"
Akiachak,331020,Akiachak,Akiachak,Akiachak Native Community
Akiak,331030,Akiak,Akiak,Akiak City Council
Akutan,331040,Akutan,Akutan,"Akutan, City of"
Alakanuk,331240,Alakanuk,Emmonak,Alaska Village Electric Cooperative
Allakaket,331050,"Allakaket, Alatna",Allakaket,Alaska Power & Telephone Company
Alatna,331050,"Allakaket, Alatna",Allakaket,Alaska Power & Telephone Company
Ambler,331250,Ambler,Ambler,Alaska Village Electric Cooperative
Anaktuvuk Pass,332350,Anaktuvuk Pass,Anaktuvuk Pass,North Slope Borough Power & Light
Angoon,332650,Angoon,Angoon,Inside Passage Electric
Aniak,331760,Aniak,Aniak,Aniak Light & Power
Anvik,331260,Anvik,Anvik,Alaska Village Electric Cooperative
Arctic Village,331770,Arctic Village,Arctic Village,Arctic Village Electric Company
Atka,331750,Atka,Atka,"Atka, City of"
Atmautluak,331780,Atmautluak,Atmautluak,Atmautluak Tribal Utilities
Atqasuk,332360,Atqasuk,Atqasuk,North Slope Borough Power & Light
Beaver,331790,Beaver,Beaver,Beaver Joint Utilities
Bethel,331800,"Bethel, Oscarville",Bethel,Alaska Village Electric Cooperative
Oscarville,331800,"Bethel, Oscarville",Bethel,Alaska Village Electric Cooperative
Bettles,331060,"Bettles, Evansville",Bettles,Alaska Power & Telephone Company
Evansville,331060,"Bettles, Evansville",Bettles,Alaska Power & Telephone Company
Brevig Mission,331270,Brevig Mission,Brevig Mission,Alaska Village Electric Cooperative
Buckland,331820,Buckland,Buckland,"Buckland, City of"
Central,331830,Central,Central,Gold Country Energy
Chalkyitsik,331840,Chalkyitsik,Chalkyitsik,Chalkyitsik Village Council
Chefornak,332310,Chefornak,Chefornak,Naterkaq Light Plant (City of Chefornak)
Chenega Bay,331850,Chenega Bay,Chenega Bay,Chenega Ira Council
Chevak,331280,Chevak,Chevak,Alaska Village Electric Cooperative
Chignik,331860,Chignik,Chignik,"Chignik, City of"
Chignik Lagoon,331870,Chignik Lagoon,Chignik Lagoon,Chignik Lagoon Power Utility
Chignik Lake,331880,Chignik Lake,Chignik Lake,Chignik Lake Electric Utility
Chilkat Valley,332660,Chilkat Valley,Chilkat Valley,Inside Passage Electric
Chistochina,331070,Chistochina,Chistochina,Alaska Power & Telephone Company
Chitina,331890,Chitina,Chitina,Chitina Electric Inc
Chuathbaluk,332230,Chuathbaluk,Chuathbaluk,Middle Kuskokwim Electric
Circle,331900,Circle,Circle,Circle Electric Utility
Clark's Point,331910,Clark's Point,Clark's Point,"Clark's Point, City of"
Coffman Cove,331080,Coffman Cove,Coffman Cove,Alaska Power & Telephone Company
Cold Bay,331980,Cold Bay,Cold Bay,G & K Inc
Cordova,331920,"Cordova, Eyak",Orca,Cordova Electric Cooperative
Eyak,331920,"Cordova, Eyak",Orca,Cordova Electric Cooperative
Craig,331090,"Craig, Klawock",Craig,Alaska Power & Telephone Company
Klawock,331090,"Craig, Klawock",Craig,Alaska Power & Telephone Company
Crooked Creek,332240,Crooked Creek,Crooked Creek,Middle Kuskokwim Electric
Deering,332060,Deering,Deering,Ipnatchiaq Electric Company
Dillingham,332430,"Dillingham, Aleknagik",Dillingham,Nushagak Electric Cooperative
Aleknagik,332430,"Dillingham, Aleknagik",Dillingham,Nushagak Electric Cooperative
Diomede,331930,Diomede,Diomede,Diomede Joint Utilities
Dot Lake,331100,"Dot Lake, Dot Lake Village",Tok,Alaska Power & Telephone Company
Dot Lake Village,331100,"Dot Lake, Dot Lake Village",Tok,Alaska Power & Telephone Company
Eagle,331110,"Eagle, Eagle Village",Eagle,Alaska Power & Telephone Company
Eagle Village,331110,"Eagle, Eagle Village",Eagle,Alaska Power & Telephone Company
Eek,331290,Eek,Eek,Alaska Village Electric Cooperative
Egegik,331940,Egegik,Egegik,Egegik Light & Power Co
Ekwok,331950,Ekwok,Ekwok,Alaska Village Electric Cooperative
Elfin Cove,331960,Elfin Cove,Elfin Cove,Elfin Cove Utility Commission
Elim,331300,Elim,Elim,Alaska Village Electric Cooperative
Emmonak,331310,Emmonak,Emmonak,Alaska Village Electric Cooperative
False Pass,331970,False Pass,False Pass,"False Pass, City of"
Fort Yukon,332020,Fort Yukon,Fort Yukon,Gwitchyaa Zhee Utilities Company
Galena,331990,Galena,Galena,"Galena, City of"
Gambell,331320,Gambell,Gambell,Alaska Village Electric Cooperative
Golovin,332000,Golovin,Golovin,Golovin Power Utilities
Goodnews Bay,331330,Goodnews Bay,Goodnews Bay,Alaska Village Electric Cooperative
Grayling,331340,Grayling,Grayling,Alaska Village Electric Cooperative
Gustavus,332010,Gustavus,Gustavus,Gustavus Electric Co
Haines,331120,"Haines, Covenant Life",Haines,Alaska Power & Telephone Company
Covenant Life,331120,"Haines, Covenant Life",Haines,Alaska Power & Telephone Company
Healy Lake,331130,Healy Lake,Healy Lake,Alaska Power & Telephone Company
Hollis,331140,Hollis,Hollis,Alaska Power & Telephone Company
Holy Cross,331350,Holy Cross,Holy Cross,Alaska Village Electric Cooperative
Hoonah,332670,Hoonah,Hoonah,Inside Passage Electric
Hooper Bay,331360,Hooper Bay,Hooper Bay,Alaska Village Electric Cooperative
Hughes,332030,Hughes,Hughes,Hughes Power & Light
Huslia,331370,Huslia,Huslia,Alaska Village Electric Cooperative
Hydaburg,331150,Hydaburg,Hydaburg,Alaska Power & Telephone Company
Igiugig,332040,Igiugig,Igiugig,Igiugig Electric Company
Iliamna,332050,"Iliamna, Newhalen, Nondalton",Newhalen,"I-N-N Electric Coop, Inc"
Newhalen,332050,"Iliamna, Newhalen, Nondalton",Newhalen,"I-N-N Electric Coop, Inc"
Nondalton,332050,"Iliamna, Newhalen, Nondalton",Newhalen,"I-N-N Electric Coop, Inc"
Kake,332680,Kake,Kake,Inside Passage Electric
Kaktovik,332370,Kaktovik,Kaktovik,North Slope Borough Power & Light
Kalskag,331720,Kalskag,Upper Kalskag,Alaska Village Electric Cooperative
Kaltag,331380,Kaltag,Kaltag,Alaska Village Electric Cooperative
Karluk,331740,Karluk,Karluk,Alutiiq Power Company
Kasigluk,331390,Kasigluk,Kasigluk,Alaska Village Electric Cooperative
Kiana,331400,Kiana,Kiana,Alaska Village Electric Cooperative
King Cove,332070,King Cove,King Cove,"King Cove, City of"
Kipnuk,332080,Kipnuk,Kipnuk,Kipnuk Light Plant
Kivalina,331410,Kivalina,Kivalina,Alaska Village Electric Cooperative
Klawock,331155,Klawock,Craig,Alaska Power & Telephone Company
Klukwan,332700,Klukwan,Klukwan,Inside Passage Electric
Kobuk,332090,Kobuk,Shungnak,Kobuk Valley Electric Company
Kokhanok,332100,Kokhanok,Kokhanok,Kokhanok Village Council
Koliganek,332110,Koliganek,Koliganek,New Koliganek Village Council
Kongiganak,332510,Kongiganak,Kongiganak,Puvurnaq Power Company
Kotlik,332120,Kotlik,Kotlik,Alaska Village Electric Cooperative
Kotzebue,332130,Kotzebue,Kotzebue,Kotzebue Electric Association
Koyuk,331420,Koyuk,Koyuk,Alaska Village Electric Cooperative
Koyukuk,332140,Koyukuk,Koyukuk,"Koyukuk, City of"
Kwethluk,332150,Kwethluk,Kwethluk,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia
Kwigillingok,332160,Kwigillingok,Kwigillingok,Kwigillingok Power Company
Larsen Bay,332170,Larsen Bay,Larsen Bay,Larsen Bay Utility Company
Levelock,332180,Levelock,Levelock,Levelock Electrical Coop
Lime Village,332190,Lime Village,Lime Village,Lime Village Electric Utility
Lower Kalskag,331430,Lower Kalskag,Upper Kalskag,Alaska Village Electric Cooperative
Manley Hot Springs,332200,Manley Hot Springs,Manley Hot Springs,TDX Manley Generating LLC
Manokotak,332210,Manokotak,Manokotak,Manokotak Power Company
Marshall,331440,Marshall,Marshall,Alaska Village Electric Cooperative
McGrath,332220,McGrath,McGrath,Mcgrath Light & Power
Mekoryuk,331450,Mekoryuk,Mekoryuk,Alaska Village Electric Cooperative
Mentasta Lake,331160,Mentasta Lake,Mentasta Lake,Alaska Power & Telephone Company
Minto,331460,Minto,Minto,Alaska Village Electric Cooperative
Mountain Village,331470,Mountain Village,Mountain Village,Alaska Village Electric Cooperative
Naknek,332280,"Naknek, South Naknek, King Salmon",Naknek,Naknek Electric Association
South Naknek,332280,"Naknek, South Naknek, King Salmon",Naknek,Naknek Electric Association
King Salmon,332280,"Naknek, South Naknek, King Salmon",Naknek,Naknek Electric Association
Napakiak,332290,Napakiak,Napakiak,Napakiak Ircinraq
Napaskiak,332300,Napaskiak,Napaskiak,Napaskiak Electric Utility
Naukati Bay,331170,Naukati Bay,Naukati Bay,Alaska Power & Telephone Company
Nelson Lagoon,332320,Nelson Lagoon,Nelson Lagoon,Nelson Lagoon Electrical Coop
