community__name,community__gnis_feature_id,community__census_code,community__census_area__name,community__census_area__gnis_feature_id,community__census_area__census_code,community__census_area__county_code,community__census_area__historical,community__census_area__notes,community__alaska_native_regional_corporation__name,community__latitude,community__longitude,community__aea_energy_region__name,community__dcra_community_id,year,total_population
Noatak,1413638,54700,Northwest Arctic Borough,1419979,99188,188,0,"Created from all of the former Kobuk Census Area (02-140) and an unpopulated part of the North Slope Borough (02-185) effective June 2, 1986; 1980 population: 4,831.","NANA Regional Corporation, Incorporated",67.5711111,-162.9652778,Northwest Arctic,9398f142-5b1c-49f1-8ea3-abb26c685372,1991,343
Ekwok,1401738,21810,Dillingham Census Area,1419968,99070,70,0,"Part taken to create the new Lake and Peninsula Borough (02-164) effective April 24, 1989; 1980 detached population: 1,384.",Bristol Bay Native Corporation,59.3497222,-157.4752778,Bristol Bay,bd8ff4d2-31bc-45c7-b405-9b1fced18032,1991,104
Willow,1417146,85280,Matanuska-Susitna Borough,1419976,99170,170,0,,,61.7472222,-150.0375000,Railbelt,53377138-3298-47f6-bf68-8bb04d22b61f,1991,294
Birch Creek,1399049,7620,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.2590355,-145.8190168,Yukon-Koyukuk/Upper Tanana,0631f05e-7610-4490-a656-f8ef9c4b84f3,1991,39
Glennallen,1402643,28740,Valdez-Cordova Census Area,1419984,99261,261,0,,,62.1091667,-145.5463889,Copper River/Chugach,f817207e-7c46-44c2-ae89-1ff22eda3f09,1991,460
Nunapitchuk,1407339,56680,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.8969444,-162.4594444,Lower Yukon-Kuskokwim,9d306c13-9008-46cd-97aa-70c59268ce15,1991,383
Copper Center,1400669,17300,Valdez-Cordova Census Area,1419984,99261,261,0,,"Ahtna, Incorporated",61.9769598,-145.3297294,Copper River/Chugach,50f2cef2-126c-4560-80d2-47c37d452ad4,1991,455
Kobuk,1413362,40840,Northwest Arctic Borough,1419979,99188,188,0,"Created from all of the former Kobuk Census Area (02-140) and an unpopulated part of the North Slope Borough (02-185) effective June 2, 1986; 1980 population: 4,831.","NANA Regional Corporation, Incorporated",66.9072222,-156.8811111,Northwest Arctic,95e28c5b-af2e-4bd5-990b-fd4de3191c3e,1991,77
Galena,1402457,27530,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",64.7333333,-156.9275000,Yukon-Koyukuk/Upper Tanana,25bf6c14-97ff-404b-a0f6-edfe2f1b6727,1991,849
Fritz Creek,1866947,27090,Kenai Peninsula Borough,1419972,99122,122,0,,,59.7361111,-151.2952778,Railbelt,2d91bf09-525f-4c95-ba10-8adcb0de4c4c,1991,1348
